Title,score,budget,gross,Profitability,Marketing Amount,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded,success
The Watcher in the Woods,6.3,0.143609551,0.001756083,0.040424471,0.07659176,0.143609551,0.065544872,0.239349251,0.269267907,0.143609551,371433600,7,244,0
Breaker Morant,7.9,0.064366879,0.013673197,0.062872132,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,331430400,6,722,0
The Stunt Man,7.1,0.009831461,0.002480954,0.058373859,0.009831461,0.009831461,0.008974359,0.009831461,0.009831461,0.009831461,330912000,0,2127,0
Where the Buffalo Roam,6.6,0.071102013,0.002338883,0.050348354,0.03318094,0.086902461,0.016225844,0.071102013,0.071102013,0.071102013,325468800,3,2115,0
The Awakening,4.8,0.036025728,0.002955527,0.055493392,0.024017152,0.036025728,0.016442512,0.036025728,0.054038592,0.036025728,341798400,10,407,0
Cheech and Chong's Next Movie,6.1,0.063505062,0.014637018,0.063974276,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,332726400,4,409,0
The Island,5.3,0.061797753,0.00552001,0.054816753,0.061797753,0.061797753,0.056410256,0.061797753,0.061797753,0.061797753,329702400,0,1851,0
The Boogey Man,4.6,0.000842697,0.016637974,0.074090682,0.000561798,0.000842697,0.000384615,0.000842697,0.001264045,0.000842697,342403200,10,2536,1
The Nude Bomb,5.1,0.042134831,0.005149549,0.056964372,0.042134831,0.042134831,0.038461538,0.042134831,0.042134831,0.042134831,326678400,0,671,0
Lion of the Desert,8.3,0.098314607,0.016814255,0.06173712,0.04588015,0.120162297,0.022435897,0.098314607,0.098314607,0.098314607,358819200,3,168,0
Stardust Memories,7.3,0.028089888,0.00364879,0.057226979,0.018726592,0.034332085,0.006410256,0.028089888,0.028089888,0.028089888,338774400,4,2779,0
Melvin and Howard,6.8,0.019662921,0.001513564,0.05611455,0.013108614,0.024032459,0.004487179,0.019662921,0.019662921,0.019662921,338169600,4,2086,0
Can't Stop the Music,4.2,0.056179775,0.016814255,0.067155652,0.026217228,0.06866417,0.012820513,0.056179775,0.056179775,0.056179775,330307200,3,2181,0
Bronco Billy,6.1,0.018258427,0.008522501,0.063504044,0.018258427,0.018258427,0.016666667,0.018258427,0.018258427,0.018258427,329529600,0,484,0
City of Women,7.0,0.063505062,4.4e-06,0.048924238,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,355536000,4,1720,0
The Private Eyes,6.7,0.063505062,0.015570088,0.064933963,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,343612800,4,2613,0
When Time Ran Out...,4.6,0.056179775,0.001321975,0.051221434,0.056179775,0.056179775,0.051282051,0.056179775,0.056179775,0.056179775,323049600,0,2091,0
Oh Heavenly Dog,5.4,0.016853933,0.002183186,0.057164508,0.011235955,0.020599251,0.003846154,0.016853933,0.016853933,0.016853933,332121600,4,411,0
The Octagon,5.1,0.011235955,0.006662929,0.062494514,0.011235955,0.011235955,0.01025641,0.011235955,0.011235955,0.011235955,335145600,0,472,1
Hangar 18,5.3,0.030898876,0.011436044,0.06487514,0.024719101,0.024032459,0.037606838,0.051498127,0.038623596,0.030898876,353289600,15,571,0
Herbie Goes Bananas,5.0,0.128394351,0.006321898,0.047077204,0.128394351,0.128394351,0.117200998,0.128394351,0.128394351,0.128394351,330739200,1,393,0
The Competition,6.7,0.064366879,0.005018096,0.053970132,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,344649600,6,2209,0
It's My Turn,5.5,0.063505062,0.015570088,0.064933963,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,350179200,4,1229,0
Honeysuckle Rose,6.3,0.064366879,0.006256997,0.055244374,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,332726400,6,2774,0
Resurrection,7.3,0.064366879,0.001373263,0.050221325,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,338774400,6,747,0
Fatso,6.3,0.063505062,0.002687882,0.051684274,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,318211200,4,664,0
Moscow Does Not Believe in Tears,8.1,0.00252809,0.015570088,0.072775591,0.001685393,0.003089888,0.000576923,0.00252809,0.00252809,0.00252809,319075200,4,2709,1
The Fiendish Plot of Dr. Fu Manchu,5.1,0.063505062,0.00375706,0.052783953,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,334540800,4,2130,0
Serial,6.6,0.063505062,0.003466763,0.052485374,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,323049600,4,1767,0
Hero at Large,6.0,0.063505062,0.005596543,0.05467591,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,318816000,4,1313,0
Wholly Moses!,4.7,0.063505062,0.004971687,0.054033228,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,329702400,4,695,0
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",7.3,0.212879767,0.000707067,0.030437392,0.113535876,0.165573152,0.291481527,0.28383969,0.266099709,0.212879767,328492800,2,2371,0
In God We Trust (or Gimme That Prime Time Religion),5.5,0.063505062,0.0018316,0.050803566,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,338774400,4,1772,0
Roadie,5.2,0.063505062,0.001484371,0.050446432,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,329702400,4,1816,0
Just Tell Me What You Want,5.5,0.063505062,0.000732956,0.049673581,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,317001600,4,76,0
The Last Flight of Noah's Ark,5.8,0.016853933,0.003863382,0.058892635,0.016853933,0.016853933,0.015384615,0.016853933,0.016853933,0.016853933,330739200,1,750,0
Little Miss Marker,6.3,0.063505062,0.002220178,0.051203228,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,322444800,4,2738,0
Willie & Phil,5.9,0.015449438,0.001545353,0.056689098,0.010299625,0.018882647,0.003525641,0.015449438,0.015449438,0.015449438,335145600,4,1876,0
Babylon,7.4,0.064366879,3.85e-05,0.048848533,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,987724800,6,602,0
Windwalker,6.9,0.008426966,0.038396831,0.095494903,0.008426966,0.008426966,0.007692308,0.008426966,0.008426966,0.008426966,437961600,1,2682,1
Phobia,4.0,0.014325843,2.08e-05,0.05526553,0.006685393,0.020692884,0.003269231,0.014325843,0.014325843,0.014325843,337305600,6,2090,0
Windows,4.8,0.064366879,0.000747528,0.049577739,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,317001600,6,2554,0
