Title,score,budget,gross,Profitability,Marketing Amount,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded,success
"I, Robot",7.1,0.337078652,0.124026471,0.141302693,0.337078652,0.337078652,0.307692308,0.337078652,0.337078652,0.337078652,1089936000,0,2762,0
Howl's Moving Castle,8.2,0.06741573,0.082962424,0.133745845,0.035955056,0.052434457,0.092307692,0.08988764,0.084269663,0.06741573,1118966400,2,413,1
Spanglish,6.4,0.224719101,0.019482036,0.048225407,0.149812734,0.274656679,0.051282051,0.224719101,0.224719101,0.224719101,1103241600,4,19,0
Million Dollar Baby,8.1,0.084269663,0.076130981,0.124552113,0.039325843,0.121722846,0.019230769,0.084269663,0.084269663,0.084269663,1106870400,6,993,1
Shaun of the Dead,7.9,0.063505062,0.010570597,0.059791855,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,1095984000,4,2458,0
The Village,6.5,0.168539326,0.090156418,0.128140581,0.078651685,0.243445693,0.038461538,0.168539326,0.168539326,0.168539326,1091145600,6,2456,1
My Summer of Love,6.7,0.064366879,0.000971808,0.049808418,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1120176000,6,1963,0
The Butterfly Effect,7.6,0.036516854,0.034005637,0.08736609,0.017041199,0.052746567,0.008333333,0.036516854,0.036516854,0.036516854,1074816000,6,188,1
The Day After Tomorrow,6.4,0.351123596,0.194096166,0.211565044,0.351123596,0.351123596,0.320512821,0.351123596,0.351123596,0.351123596,1085702400,0,639,1
Layer Cake,7.3,0.163158987,0.004161991,0.040384957,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,1117756800,0,545,0
Napoleon Dynamite,6.9,0.001123596,0.016204741,0.073608966,0.000749064,0.001373283,0.00025641,0.001123596,0.001123596,0.001123596,1093564800,4,1330,1
50 First Dates,6.8,0.210674157,0.069723838,0.101706601,0.140449438,0.257490637,0.048076923,0.210674157,0.210674157,0.210674157,1076630400,4,19,0
Man on Fire,7.7,0.196629213,0.045951366,0.079062164,0.196629213,0.196629213,0.179487179,0.196629213,0.196629213,0.196629213,1082678400,0,640,0
Downfall,8.2,0.071102013,0.032375695,0.081242006,0.03318094,0.086902461,0.016225844,0.071102013,0.071102013,0.071102013,1112918400,3,335,0
13 Going on 30,6.2,0.103932584,0.033876838,0.078563965,0.06928839,0.127028714,0.023717949,0.103932584,0.103932584,0.103932584,1082678400,4,1184,0
Shrek 2,7.2,0.421348315,0.326196157,0.338402479,0.224719101,0.327715356,0.576923077,0.561797753,0.526685393,0.421348315,1084924800,2,1910,1
Crash,7.7,0.018258427,0.034563243,0.090287632,0.009737828,0.022315855,0.008333333,0.018258427,0.02738764,0.018258427,1115337600,5,673,1
The Bourne Supremacy,7.7,0.210674157,0.102146161,0.135053815,0.210674157,0.210674157,0.192307692,0.210674157,0.210674157,0.210674157,1090540800,0,1790,0
Dawn of the Dead,7.3,0.073033708,0.035921977,0.084641035,0.073033708,0.073033708,0.066666667,0.073033708,0.073033708,0.073033708,1079654400,0,2360,0
The Passion of the Christ,7.2,0.084269663,0.214963674,0.267345197,0.039325843,0.121722846,0.019230769,0.084269663,0.084269663,0.084269663,1077667200,6,1237,1
Resident Evil: Apocalypse,6.2,0.126404494,0.045427322,0.087554058,0.126404494,0.126404494,0.115384615,0.126404494,0.126404494,0.126404494,1094774400,0,1920,0
Hellboy,6.8,0.185393258,0.034903545,0.069144131,0.185393258,0.185393258,0.169230769,0.185393258,0.185393258,0.185393258,1080864000,0,2279,0
Anchorman: The Legend of Ron Burgundy,7.2,0.073033708,0.031858631,0.080461777,0.048689139,0.089263421,0.016666667,0.073033708,0.073033708,0.073033708,1089331200,4,2757,0
Walking Tall,6.3,0.129213483,0.020097977,0.061140925,0.129213483,0.129213483,0.117948718,0.129213483,0.129213483,0.129213483,1080864000,0,698,0
The Life Aquatic with Steve Zissou,7.3,0.140449438,0.012225716,0.051599154,0.140449438,0.140449438,0.128205128,0.140449438,0.140449438,0.140449438,1103932800,0,255,0
A Series of Unfortunate Events,6.8,0.393258427,0.074271145,0.08290332,0.393258427,0.393258427,0.358974359,0.393258427,0.393258427,0.393258427,1103241600,1,1236,0
The Machinist,7.7,0.014044944,0.002881112,0.05824358,0.006554307,0.020287141,0.003205128,0.014044944,0.014044944,0.014044944,1102032000,6,443,0
The Phantom of the Opera,7.2,0.196629213,0.054315333,0.087664725,0.0917603,0.284019975,0.044871795,0.196629213,0.196629213,0.196629213,1102636800,6,897,0
Closer,7.2,0.075842697,0.040567278,0.089057613,0.035393258,0.109550562,0.017307692,0.075842697,0.075842697,0.075842697,1102032000,6,1962,1
National Treasure,6.9,0.280898876,0.122052079,0.146496689,0.280898876,0.280898876,0.256410256,0.280898876,0.280898876,0.280898876,1100822400,0,1998,0
Alexander,5.6,0.435393258,0.058757894,0.061529001,0.435393258,0.435393258,0.397435897,0.435393258,0.435393258,0.435393258,1101254400,0,489,0
The Chronicles of Riddick,6.7,0.29494382,0.040706186,0.061024117,0.29494382,0.29494382,0.269230769,0.29494382,0.29494382,0.29494382,1086912000,0,2722,0
9 Songs,4.8,0.064366879,0.000558542,0.049383363,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1110499200,6,1506,0
The Manchurian Candidate,6.6,0.224719101,0.033753987,0.062904484,0.104868914,0.324594257,0.051282051,0.224719101,0.224719101,0.224719101,1091145600,6,640,0
King Arthur,6.3,0.337078652,0.071496401,0.087274132,0.337078652,0.337078652,0.307692308,0.337078652,0.337078652,0.337078652,1089158400,0,485,0
Ocean's Twelve,6.5,0.308988764,0.127401796,0.148386659,0.164794007,0.377652934,0.141025641,0.308988764,0.463483146,0.308988764,1102636800,5,885,0
Harold & Kumar Go to White Castle,7.0,0.025280899,0.008407038,0.062482199,0.025280899,0.025280899,0.023076923,0.025280899,0.025280899,0.025280899,1091145600,1,1286,0
Blade: Trinity,5.8,0.18258427,0.046352825,0.081281253,0.18258427,0.18258427,0.166666667,0.18258427,0.18258427,0.18258427,1102464000,0,2749,0
Alien vs. Predator,5.6,0.168539326,0.062315331,0.099505289,0.168539326,0.168539326,0.153846154,0.168539326,0.168539326,0.168539326,1092355200,0,2347,0
Meet the Fockers,6.3,0.224719101,0.183566119,0.21699021,0.149812734,0.274656679,0.051282051,0.224719101,0.224719101,0.224719101,1103673600,4,231,1
Sideways,7.5,0.04494382,0.03853089,0.090936726,0.029962547,0.054931336,0.01025641,0.04494382,0.04494382,0.04494382,1098403200,4,2081,1
Friday Night Lights,7.2,0.084269663,0.021758136,0.068628209,0.084269663,0.084269663,0.076923077,0.084269663,0.084269663,0.084269663,1097193600,0,263,0
Starsky & Hutch,6.1,0.168539326,0.059801204,0.096919442,0.112359551,0.205992509,0.038461538,0.168539326,0.168539326,0.168539326,1078444800,4,231,0
Shark Tale,6.0,0.210674157,0.131560059,0.165306784,0.112359551,0.163857678,0.288461538,0.280898876,0.263342697,0.210674157,1096588800,2,2762,1
Before Sunset,8.1,0.00758427,0.005597165,0.061867953,0.003539326,0.010955056,0.001730769,0.00758427,0.00758427,0.00758427,1091145600,6,794,1
Ella Enchanted,6.3,0.087078652,0.009619388,0.055781952,0.058052434,0.106429463,0.019871795,0.087078652,0.087078652,0.087078652,1081468800,4,150,0
Primer,6.9,1.97e-05,0.000191566,0.05728096,9.18e-06,2.84e-05,4.49e-06,1.97e-05,1.97e-05,1.97e-05,1117152000,6,2416,1
A Cinderella Story,5.9,0.053370787,0.02460901,0.075533998,0.035580524,0.065230961,0.012179487,0.053370787,0.053370787,0.053370787,1089936000,4,992,0
Along Came Polly,6.0,0.117977528,0.062626031,0.10632709,0.078651685,0.144194757,0.026923077,0.117977528,0.117977528,0.117977528,1074211200,4,231,1
Somersault,6.7,0.064366879,0.000520614,0.049344353,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1095292800,6,12,0
The SpongeBob SquarePants Movie,7.1,0.084269663,0.04954511,0.097207844,0.04494382,0.065543071,0.115384615,0.112359551,0.105337079,0.084269663,1100822400,2,2647,1
Scooby-Doo 2: Monsters Unleashed,5.1,0.224719101,0.063646352,0.093649569,0.224719101,0.224719101,0.205128205,0.224719101,0.224719101,0.224719101,1080259200,1,849,0
The Ladykillers,6.2,0.098314607,0.026926084,0.072137403,0.065543071,0.120162297,0.022435897,0.098314607,0.098314607,0.098314607,1080259200,4,2641,0
Hotel Rwanda,8.1,0.049157303,0.011900005,0.063004305,0.022940075,0.060081149,0.011217949,0.049157303,0.049157303,0.049157303,1107475200,3,673,0
Taking Lives,6.2,0.126404494,0.022994334,0.064481139,0.06741573,0.154494382,0.057692308,0.126404494,0.189606742,0.126404494,1079654400,5,135,0
Kung Fu Hustle,7.7,0.056179775,0.036836451,0.087749008,0.056179775,0.056179775,0.051282051,0.056179775,0.056179775,0.056179775,1114128000,0,2490,1
The Perfect Score,5.7,0.112359551,0.003827676,0.046573904,0.074906367,0.13732834,0.025641026,0.112359551,0.112359551,0.112359551,1075420800,4,2366,0
Garden State,7.4,0.007022472,0.012582444,0.069124744,0.004681648,0.008583021,0.001602564,0.007022472,0.007022472,0.007022472,1092960000,4,2795,1
The Princess Diaries 2: Royal Engagement,5.8,0.112359551,0.04732098,0.091307913,0.074906367,0.13732834,0.025641026,0.112359551,0.112359551,0.112359551,1092182400,4,150,0
Twisted,5.3,0.140449438,0.014383935,0.053818939,0.074906367,0.171660424,0.064102564,0.140449438,0.210674157,0.140449438,1077840000,5,186,0
Catwoman,3.4,0.280898876,0.028835715,0.050621202,0.280898876,0.280898876,0.256410256,0.280898876,0.280898876,0.280898876,1090540800,0,951,0
Seed of Chucky,4.8,0.033707865,0.008720582,0.06172098,0.02247191,0.041198502,0.007692308,0.033707865,0.033707865,0.033707865,1100217600,4,1192,0
2046,7.4,0.033707865,0.007096596,0.060050668,0.015730337,0.048689139,0.007692308,0.033707865,0.033707865,0.033707865,1096416000,6,2665,0
Torque,4.1,0.112359551,0.016347795,0.059451176,0.112359551,0.112359551,0.102564103,0.112359551,0.112359551,0.112359551,1074211200,0,1763,0
Ray,7.7,0.112359551,0.043540799,0.087419898,0.052434457,0.13732834,0.025641026,0.112359551,0.112359551,0.112359551,1099008000,3,1105,0
Chasing Liberty,6.1,0.064606742,0.004324643,0.05322605,0.043071161,0.078963795,0.01474359,0.064606742,0.064606742,0.064606742,1073606400,4,1714,0
Secret Window,6.5,0.112359551,0.032632644,0.076200572,0.052434457,0.162297129,0.025641026,0.112359551,0.112359551,0.112359551,1079049600,6,1322,0
Bride & Prejudice,6.2,0.019662921,0.008680823,0.063486264,0.013108614,0.024032459,0.004487179,0.019662921,0.019662921,0.019662921,1110499200,4,1763,0
Finding Neverland,7.7,0.070224719,0.040969626,0.090193911,0.032771536,0.085830212,0.016025641,0.070224719,0.070224719,0.070224719,1103241600,3,1322,1
Team America: World Police,7.2,0.08988764,0.017851248,0.063887401,0.08988764,0.08988764,0.082051282,0.08988764,0.08988764,0.08988764,1097798400,0,2685,0
Sleepover,5.4,0.028089888,0.003562397,0.057138122,0.018726592,0.034332085,0.006410256,0.028089888,0.028089888,0.028089888,1089331200,4,64,0
The Grudge,5.9,0.028089888,0.065776228,0.121126686,0.018726592,0.028089888,0.012820513,0.028089888,0.042134831,0.028089888,1098403200,10,2357,1
Around the World in 80 Days,5.9,0.308988764,0.025350423,0.043424132,0.308988764,0.308988764,0.282051282,0.308988764,0.308988764,0.308988764,1087344000,0,1052,0
Wimbledon,6.3,0.087078652,0.014639492,0.06094526,0.058052434,0.106429463,0.019871795,0.087078652,0.087078652,0.087078652,1095379200,4,1516,0
The Adventures of Sharkboy and Lavagirl 3-D,3.7,0.140449438,0.025285012,0.065030985,0.140449438,0.140449438,0.128205128,0.140449438,0.140449438,0.140449438,1118361600,0,379,0
The Polar Express,6.6,0.463483146,0.110357669,0.110988374,0.247191011,0.360486891,0.634615385,0.617977528,0.579353933,0.463483146,1100044800,2,2641,0
Without a Paddle,5.9,0.053370787,0.02564906,0.076603718,0.053370787,0.053370787,0.048717949,0.053370787,0.053370787,0.053370787,1092960000,1,1801,0
Miracle,7.5,0.078651685,0.022634399,0.07025194,0.03670412,0.096129838,0.017948718,0.078651685,0.078651685,0.078651685,1076025600,3,1543,0
Mindhunters,6.4,0.075842697,0.007427819,0.054972807,0.040449438,0.092696629,0.034615385,0.075842697,0.113764045,0.075842697,1115942400,5,2699,0
Mysterious Skin,7.6,0.064366879,0.000538391,0.049362637,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1119571200,6,297,0
The Prince and Me,5.9,0.061797753,0.013229192,0.062745849,0.041198502,0.075530587,0.014102564,0.061797753,0.061797753,0.061797753,1080864000,4,1382,0
Taxi,4.5,0.070224719,0.025025937,0.073795406,0.070224719,0.070224719,0.064102564,0.070224719,0.070224719,0.070224719,1097020800,0,2153,0
Wicker Park,7.0,0.084269663,0.007636009,0.05410323,0.039325843,0.121722846,0.019230769,0.084269663,0.084269663,0.084269663,1094169600,6,1358,0
Cellular,6.5,0.070224719,0.020257581,0.068891026,0.070224719,0.070224719,0.064102564,0.070224719,0.070224719,0.070224719,1094774400,0,1507,0
Kinsey,7.1,0.030898876,0.005988248,0.059271938,0.014419476,0.037765293,0.007051282,0.030898876,0.030898876,0.030898876,1105056000,3,1608,0
Anacondas: The Hunt for the Blood Orchid,4.7,0.056179775,0.024933881,0.075506901,0.056179775,0.056179775,0.051282051,0.056179775,0.056179775,0.056179775,1093564800,0,1945,0
The Heart Is Deceitful Above All Things,6.4,0.064366879,7.64e-05,0.048887456,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1106092800,6,189,0
Confessions of a Teenage Drama Queen,4.7,0.042134831,0.011678614,0.063679688,0.028089888,0.051498127,0.009615385,0.042134831,0.042134831,0.042134831,1077235200,4,1627,0
Raising Helen,6.0,0.140449438,0.017461999,0.05698481,0.093632959,0.171660424,0.032051282,0.140449438,0.140449438,0.140449438,1085702400,4,1436,0
Fat Albert,4.3,0.073033708,0.017052028,0.065232795,0.048689139,0.089263421,0.016666667,0.073033708,0.073033708,0.073033708,1103932800,4,1483,0
Sky Captain and the World of Tomorrow,6.0,0.196629213,0.020351958,0.052732499,0.196629213,0.196629213,0.179487179,0.196629213,0.196629213,0.196629213,1095379200,0,940,0
The Final Cut,6.2,0.064366879,0.001131774,0.049972947,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1097798400,6,2263,0
The Stepford Wives,5.3,0.252808989,0.0363053,0.061916222,0.168539326,0.308988764,0.057692308,0.252808989,0.252808989,0.252808989,1086912000,4,2000,0
Shall We Dance,6.1,0.140449438,0.059751931,0.100481119,0.093632959,0.171660424,0.032051282,0.140449438,0.140449438,0.140449438,1097798400,4,2212,0
House of Flying Daggers,7.5,0.163158987,0.032615355,0.069649991,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,1105660800,0,2808,0
District B13,7.1,0.163158987,0.003922873,0.040139018,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,1149206400,0,518,0
Dead Man's Shoes,7.6,0.062819005,7.15e-05,0.049081437,0.033503469,0.076778783,0.028671238,0.062819005,0.094228507,0.062819005,1096588800,5,2051,0
After the Sunset,6.3,0.168539326,0.02200648,0.058046574,0.168539326,0.168539326,0.153846154,0.168539326,0.168539326,0.168539326,1100217600,0,2143,0
A Very Long Engagement,7.6,0.158988764,0.024382995,0.061719082,0.074194757,0.229650437,0.036282051,0.158988764,0.158988764,0.158988764,1105660800,6,195,0
The Forgotten,5.8,0.117977528,0.041300549,0.08439327,0.05505618,0.170411985,0.026923077,0.117977528,0.117977528,0.117977528,1095984000,6,1391,0
Flight of the Phoenix,6.1,0.126404494,0.012300129,0.053481868,0.126404494,0.126404494,0.115384615,0.126404494,0.126404494,0.126404494,1103241600,0,639,0
Saved!,6.7,0.014044944,0.003608929,0.058992158,0.009363296,0.017166042,0.003205128,0.014044944,0.014044944,0.014044944,1086912000,4,1174,0
Garfield,5.0,0.140449438,0.071357516,0.112417769,0.074906367,0.109238452,0.192307692,0.187265918,0.175561798,0.140449438,1086912000,2,303,1
In Good Company,6.4,0.073033708,0.021534919,0.069843566,0.048689139,0.089263421,0.016666667,0.073033708,0.073033708,0.073033708,1105660800,4,639,0
First Daughter,5.1,0.084269663,0.003720149,0.050075664,0.056179775,0.102996255,0.019230769,0.084269663,0.084269663,0.084269663,1095984000,4,1454,0
Jersey Girl,6.2,0.098314607,0.012465701,0.057264518,0.065543071,0.120162297,0.022435897,0.098314607,0.098314607,0.098314607,1080259200,4,221,0
The Alamo,6.0,0.300561798,0.009068398,0.027761347,0.140262172,0.434144819,0.068589744,0.300561798,0.300561798,0.300561798,1081468800,6,639,0
A Love Song for Bobby Long,7.1,0.064366879,0.000716315,0.049545637,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1106265600,6,2366,0
Raise Your Voice,5.9,0.042134831,0.005221717,0.057038599,0.02247191,0.042134831,0.019230769,0.070224719,0.079002809,0.042134831,1097193600,7,992,0
Hidalgo,6.7,0.280898876,0.037945655,0.059991015,0.280898876,0.280898876,0.256410256,0.280898876,0.280898876,0.280898876,1078444800,0,2720,0
Bridget Jones: The Edge of Reason,6.0,0.112359551,0.093116963,0.138410288,0.074906367,0.13732834,0.025641026,0.112359551,0.112359551,0.112359551,1100822400,4,2197,1
Mean Creek,7.2,0.001404494,0.000282009,0.057195893,0.000749064,0.001716604,0.000641026,0.001404494,0.002106742,0.001404494,1096416000,5,2285,0
Dirty Dancing: Havana Nights,6.0,0.070224719,0.009723436,0.05805638,0.032771536,0.101435705,0.016025641,0.070224719,0.070224719,0.070224719,1077840000,6,658,0
D.E.B.S.,5.3,0.009831461,3.42e-05,0.055857334,0.009831461,0.009831461,0.008974359,0.009831461,0.009831461,0.009831461,1111708800,0,2351,0
The Motorcycle Diaries,7.8,0.128394351,0.02025245,0.061405144,0.128394351,0.128394351,0.117200998,0.128394351,0.128394351,0.128394351,1097798400,1,862,0
Club Dread,5.7,0.024157303,0.002657237,0.05671287,0.016104869,0.029525593,0.005512821,0.024157303,0.024157303,0.024157303,1077840000,4,1150,0
Eros,6.0,0.064366879,0.000545446,0.049369894,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1102032000,6,2242,0
Bad Education,7.4,0.014044944,0.014197325,0.069882603,0.007490637,0.017166042,0.006410256,0.014044944,0.021067416,0.014044944,1108080000,5,862,1
Soul Plane,4.5,0.04494382,0.00520567,0.056660858,0.029962547,0.054931336,0.01025641,0.04494382,0.04494382,0.04494382,1085702400,4,697,0
3-Iron,8.0,0.002808989,0.001195526,0.057954852,0.001498127,0.003433208,0.001282051,0.002808989,0.004213483,0.002808989,1097798400,5,2406,0
Thunderbirds,4.3,0.16011236,0.009933682,0.046713088,0.16011236,0.16011236,0.146153846,0.16011236,0.16011236,0.16011236,1091145600,0,258,0
New York Minute,5.0,0.084269663,0.007477339,0.053940034,0.056179775,0.102996255,0.019230769,0.084269663,0.084269663,0.084269663,1083888000,4,1780,0
Birth,6.2,0.056179775,0.008403029,0.058504484,0.026217228,0.081148564,0.012820513,0.056179775,0.056179775,0.056179775,1099008000,6,2000,0
Vanity Fair,6.2,0.064606742,0.006835793,0.055808834,0.030149813,0.093320849,0.01474359,0.064606742,0.064606742,0.064606742,1093996800,6,2193,0
Exorcist: the Beginning,5.1,0.224719101,0.027433532,0.05640373,0.149812734,0.224719101,0.102564103,0.224719101,0.337078652,0.224719101,1092960000,10,2485,0
A Dirty Shame,5.1,0.042134831,0.000672287,0.05235939,0.028089888,0.051498127,0.009615385,0.042134831,0.042134831,0.042134831,1095984000,4,2676,0
Swades,8.2,0.064366879,0.000686238,0.049514702,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1103241600,6,2410,0
I Heart Huckabees,6.6,0.056179775,0.007057665,0.057120742,0.037453184,0.06866417,0.012820513,0.056179775,0.056179775,0.056179775,1098403200,4,1142,0
The Sea Inside,8.0,0.071102013,0.015359269,0.063740164,0.03318094,0.086902461,0.016225844,0.071102013,0.071102013,0.071102013,1109894400,3,1148,0
The Door in the Floor,6.7,0.021067416,0.002358443,0.056802912,0.014044944,0.025749064,0.004807692,0.021067416,0.021067416,0.021067416,1091750400,4,1162,0
The Whole Ten Yards,5.5,0.112359551,0.009191573,0.052090813,0.074906367,0.13732834,0.025641026,0.112359551,0.112359551,0.112359551,1081468800,4,334,0
Envy,4.8,0.112359551,0.005090545,0.047872798,0.074906367,0.13732834,0.025641026,0.112359551,0.112359551,0.112359551,1083283200,4,231,0
Alfie,6.2,0.168539326,0.012313962,0.048077563,0.112359551,0.205992509,0.038461538,0.168539326,0.168539326,0.168539326,1099612800,4,1374,0
Superbabies: Baby Geniuses 2,1.9,0.056179775,0.00331852,0.053274933,0.037453184,0.06866417,0.012820513,0.056179775,0.056179775,0.056179775,1093564800,4,1332,0
Nobody Knows,8.1,0.064366879,0.000803616,0.049635428,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1098316800,6,2793,0
Black Friday,8.5,0.163158987,0.000565774,0.036686152,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,1170979200,0,1458,0
Johnson Family Vacation,4.5,0.033707865,0.011002274,0.06406776,0.02247191,0.041198502,0.007692308,0.033707865,0.033707865,0.033707865,1081296000,4,382,0
The Chorus,7.9,0.063505062,0.031042607,0.080847856,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,1079481600,4,942,0
The Woodsman,7.2,0.064366879,0.001643133,0.050498894,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1106870400,6,1492,0
Three... Extremes,7.0,0.036025728,0.000181554,0.052640288,0.024017152,0.036025728,0.016442512,0.036025728,0.054038592,0.036025728,1092960000,10,201,0
Spartan,6.5,0.054073034,0.002849319,0.053063274,0.054073034,0.054073034,0.049358974,0.054073034,0.054073034,0.054073034,1079049600,0,2699,0
Home on the Range,5.4,0.308988764,0.051052158,0.069859044,0.164794007,0.240324594,0.423076923,0.411985019,0.386235955,0.308988764,1080864000,2,1376,0
Christmas with the Kranks,5.4,0.168539326,0.033925067,0.070305154,0.112359551,0.205992509,0.038461538,0.168539326,0.168539326,0.168539326,1101254400,4,2612,0
Win a Date with Tad Hamilton!,5.6,0.061797753,0.007555874,0.056910692,0.041198502,0.075530587,0.014102564,0.061797753,0.061797753,0.061797753,1074816000,4,1433,0
Night Watch,6.4,0.011797753,0.017678934,0.073752518,0.011797753,0.011797753,0.010769231,0.011797753,0.011797753,0.011797753,1141344000,0,1524,1
The Merchant of Venice,7.0,0.084269663,0.007572293,0.054037696,0.039325843,0.121722846,0.019230769,0.084269663,0.084269663,0.084269663,1108684800,6,38,0
Ladder 49,6.5,0.154494382,0.035322567,0.073548697,0.154494382,0.154494382,0.141025641,0.154494382,0.154494382,0.154494382,1096588800,0,1257,0
The Libertine,6.3,0.071102013,0.003811425,0.051862901,0.03318094,0.086902461,0.016225844,0.071102013,0.071102013,0.071102013,1141948800,3,1322,0
Ma mère,5.1,0.064366879,0.000530355,0.049354372,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1084924800,6,1038,0
You Got Served,3.9,0.02247191,0.017763411,0.07246671,0.010486891,0.032459426,0.005128205,0.02247191,0.02247191,0.02247191,1075420800,6,2040,1
A Good Woman,6.5,0.064366879,0.00241582,0.051293622,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1115942400,6,980,0
Beyond the Sea,6.7,0.064606742,0.002966942,0.05182962,0.030149813,0.078963795,0.01474359,0.064606742,0.064606742,0.064606742,1104278400,3,1501,0
Ladies in Lavender,7.0,0.064366879,0.007172239,0.056185724,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1117152000,6,1376,0
Eulogy,6.5,0.018258427,3.15e-05,0.054770859,0.012172285,0.022315855,0.004166667,0.018258427,0.018258427,0.018258427,1096156800,4,2180,0
Before the Fall,7.4,0.064366879,0.001322056,0.050168657,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1105574400,6,1811,0
Saving Face,7.4,0.063505062,0.000434286,0.049366391,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,1119571200,4,1252,0
The Big Bounce,4.9,0.140449438,0.002391275,0.041484173,0.093632959,0.171660424,0.032051282,0.140449438,0.140449438,0.140449438,1075420800,4,2050,0
Veer-Zaara,7.8,0.019662921,0.002418906,0.057045718,0.00917603,0.028401998,0.004487179,0.019662921,0.019662921,0.019662921,1100217600,6,2410,0
Little Black Book,5.3,0.098314607,0.007739236,0.052403223,0.065543071,0.120162297,0.022435897,0.098314607,0.098314607,0.098314607,1091750400,4,324,0
Laws of Attraction,5.9,0.08988764,0.010547691,0.0563755,0.059925094,0.109862672,0.020512821,0.08988764,0.08988764,0.08988764,1083283200,4,2143,0
Undertow,6.6,0.064366879,5.51e-05,0.048865517,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1103241600,6,1103,0
Head in the Clouds,6.6,0.064366879,0.001287159,0.050132764,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1099094400,6,401,0
Maria Full of Grace,7.4,0.008426966,0.004423443,0.060552378,0.004494382,0.010299625,0.003846154,0.008426966,0.012640449,0.008426966,1091750400,5,368,1
Vera Drake,7.6,0.030898876,0.004659895,0.057905692,0.016479401,0.037765293,0.014102564,0.030898876,0.046348315,0.030898876,1107475200,5,1027,0
Millions,6.9,0.063505062,0.004138132,0.053175895,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,1114732800,4,58,0
It's All Gone Pete Tong,7.3,0.005617978,0.000574259,0.056954627,0.002621723,0.006866417,0.001282051,0.005617978,0.005617978,0.005617978,1117152000,3,2084,0
Catch That Kid,5.2,0.033707865,0.005953718,0.058875188,0.033707865,0.033707865,0.030769231,0.033707865,0.033707865,0.033707865,1076025600,0,1531,0
Lakshya,7.9,0.163158987,0.002057863,0.038220805,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,1087516800,0,1007,0
Main Hoon Na,7.0,0.163158987,0.003805877,0.040018684,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,1083283200,0,2410,0
Tae Guk Gi: The Brotherhood of War,8.0,0.035955056,0.026793602,0.080020569,0.035955056,0.035955056,0.032820513,0.035955056,0.035955056,0.035955056,1095984000,0,1117,1
Lila dit ça,6.9,0.062819005,0.000188909,0.049202242,0.033503469,0.076778783,0.028671238,0.062819005,0.094228507,0.062819005,1106697600,5,2698,0
Five Times Two,6.6,0.064366879,0.002614774,0.051498252,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,1093996800,6,2700,0
She Hate Me,5.3,0.02247191,0.00053629,0.054748162,0.014981273,0.027465668,0.005128205,0.02247191,0.02247191,0.02247191,1091145600,4,164,0
Mind Game,7.8,0.212879767,1.29e-05,0.029723381,0.113535876,0.165573152,0.291481527,0.28383969,0.266099709,0.212879767,1119744000,2,1550,0
As It Is in Heaven,7.5,0.063505062,0.006437262,0.05554061,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,1094169600,4,1873,0
Palindromes,6.7,0.063505062,0.000284375,0.049212204,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,1106265600,4,1185,0
Dhoom,6.7,0.163158987,0.002568169,0.038745669,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,1093564800,0,13,0
