Title,score,budget,Marketing Amount,gross,Profitability,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded
Airplane II: the Sequel,6.2,15000000,3750000,27150534,12150534,8250000,1125000,1125000,600000,1875000,408326400,4,2247
The Toy,5.8,17000000,4250000,47118057,30118057,9350000,1275000,1275000,680000,2125000,408326400,4,2221
The House on Sorority Row,6,425000,106250,10604986,10179986,191250,63750,31875,25500,53125,428198400,10,1439
Evil Under the Sun,7.1,10000000,2000000,6110670,-3889330,5500000,1500000,750000,600000,1250000,384134400,5,2132
The Sword and the Sorcerer,5.6,58084599.21,21781724.7,39103425,-18981174.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,388972800,0,1585
Death Wish II,6,2000000,750000,16100000,14100000,900000,600000,150000,80000,250000,382924800,0,391
Silent Rage,5.5,4500000,1687500,10490791,5990791,2025000,1350000,337500,180000,562500,386553600,0,472
Megaforce,3.7,20000000,7500000,5675599,-14324401,9000000,6000000,1500000,800000,2500000,393811200,0,208
Personal Best,6.3,16000000,2800000,5672311,-10327689,10400000,1200000,1200000,640000,2000000,393897600,6,1734
Dead Men Don't Wear Plaid,6.9,9000000,2250000,18196170,9196170,4950000,675000,675000,360000,1125000,390787200,4,2510
Amityville II: The Possession,5.5,5000000,1250000,12534817,7534817,2250000,750000,375000,300000,625000,401673600,10,1093
Missing,7.7,9500000,1662500,14000000,4500000,5225000,712500,712500,380000,1187500,384739200,3,1046
Frances,7.3,25312316.72,4429655.427,47874322.87,22562006.14,13921774.2,1898423.754,1898423.754,1012492.669,3164039.59,416188800,3,1224
The Seduction,4.9,10511111.11,2102222.222,11378339,867227.8889,5781111.111,1576666.667,788333.3333,630666.6667,1313888.889,381110400,17,1941
Cannery Row,6.7,11300000,2825000,5301539,-5998461,6215000,847500,847500,452000,1412500,382320000,4,1992
Deathtrap,7,22607802.13,5651950.532,19282134,-3325668.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,385344000,4,1851
Tex,6.5,22914608.79,4010056.539,7400000,-15514608.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,396835200,6,1791
Time Walker,3.6,750000,187500,47372409.13,46622409.13,337500,112500,56250,45000,93750,406512000,10,228
"I, the Jury",5.9,22363565.63,4472713.126,1515578,-20847987.63,12299961.1,3354534.844,1677267.422,1341813.938,2795445.704,388281600,5,178
Tempest,6.5,13000000,3250000,5005245,-7994755,7150000,975000,975000,520000,1625000,401673600,4,1284
Young Doctors in Love,5.5,22607802.13,5651950.532,30688860,8081057.871,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,395625600,4,1870
My Favorite Year,7.4,22607802.13,5651950.532,20123620,-2484182.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,402883200,4,2127
Still of the Night,6.1,10000000,2000000,5979947,-4020053,5500000,1500000,750000,600000,1250000,406512000,5,2298
Parasite,3.9,800000,200000,2270,-797730,360000,120000,60000,48000,100000,384739200,10,2246
Making Love,6.9,22914608.79,4010056.539,11897978,-11016630.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,384134400,6,1876
Honkytonk Man,6.6,2000000,500000,4484991,2484991,1100000,150000,150000,80000,250000,408758400,4,484
The Beast Within,5.6,12825159.09,3206289.773,7742572,-5082587.091,5771321.591,1923773.864,961886.9318,769509.5455,1603144.886,382320000,10,2282
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",7.2,850000,212500,840958,-9042,467500,63750,63750,34000,106250,418435200,4,410
The Final Option,6.4,6000000,2250000,2666873,-3333127,2700000,1800000,450000,240000,750000,432518400,0,1603
Trail of the Pink Panther,5,6000000,1500000,9056073,3056073,3300000,450000,450000,240000,750000,408931200,4,2130
The Sender,6,22914608.79,4010056.539,1054328,-21860280.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,404092800,6,1448
The Border,6.4,22000000,4400000,6118683,-15881317,12100000,3300000,1650000,1320000,2750000,382320000,5,1048
Kiss Me Goodbye,6,22607802.13,5651950.532,15782759,-6825043.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,409363200,4,2323
A Midsummer Night's Sex Comedy,6.6,22607802.13,5651950.532,9077269,-13530533.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,395625600,4,2779
Vice Squad,6.5,58084599.21,21781724.7,13253583,-44831016.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,380505600,0,2397
Best Friends,5.5,15000000,3750000,36821203,21821203,8250000,1125000,1125000,600000,1875000,408931200,4,343
Shoot the Moon,6.9,12000000,2100000,9217530,-2782470,7800000,900000,900000,480000,1500000,382924800,6,50
Lookin' to Get Out,5.1,17000000,4250000,946461,-16053539,9350000,1275000,1275000,680000,2125000,425779200,4,1332
Barbarosa,6.4,11000000,2200000,1736123,-9263877,6050000,1650000,825000,660000,1375000,382924800,18,2774
Visiting Hours,5.7,12825159.09,3206289.773,13258670,433510.9091,5771321.591,1923773.864,961886.9318,769509.5455,1603144.886,391392000,10,1863
A Little Sex,4.9,22607802.13,5651950.532,2370376,-20237426.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,386553600,4,2616
Class Reunion,4.7,22607802.13,5651950.532,10054150,-12553652.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,404697600,4,899
Hanky Panky,5.6,58084599.21,21781724.7,9823934,-48260665.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,391996800,0,879
Author! Author!,6.2,22607802.13,5651950.532,13111101,-9496701.129,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,393206400,4,38
Split Image,6.5,22914608.79,4010056.539,263635,-22650973.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,402451200,6,1874
The Challenge,6.3,58084599.21,21781724.7,2977706,-55106893.21,26138069.64,17425379.76,4356344.941,2323383.968,7260574.901,396230400,0,2373
The Soldier,5.3,4000000,1500000,6328816,2328816,1800000,1200000,300000,160000,500000,399254400,0,1481
Wrong Is Right,5.7,10000000,2500000,3583513,-6416487,5500000,750000,750000,400000,1250000,390182400,4,2387
Six Weeks,5.7,22914608.79,4010056.539,6668025,-16246583.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,408931200,6,695
The State of Things,7,22914608.79,4010056.539,3700,-22910908.79,14894495.71,1718595.659,1718595.659,916584.3517,2864326.099,414374400,6,87
Jekyll and Hyde... Together Again,6.2,5000000,1500000,3792188,-1207812,1750000,2000000,625000,250000,625000,402278400,15,1742
Forced Vengeance,5.6,5000000,1875000,6660333,1660333,2250000,1500000,375000,200000,625000,396835200,0,472
The Missionary,6.2,22607802.13,5651950.532,7241180,-15366622.13,12434291.17,1695585.16,1695585.16,904312.0852,2825975.266,405302400,4,1877
